Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Shi, Yu; Zhenghao, Liu; Chenyan, Xiong; Tao, Feng; Zhiyuan, Liu; ",Few-Shot Conversational Dense Retrieval,Proceedings of SIGIR,,,,2021,
"Yizhi, Li; Zhenghao, Liu; Chenyan, Xiong; Zhiyuan, Liu; ",More robust dense retrieval with contrastive dual learning,Proceedings of ICTIR,,,,2021,
"Zhenghao, Liu; Xiaoyuan, Yi; Maosong, Sun; Liner, Yang; Tat-Seng Chua; ",Neural Quality Estimation with Multiple Hypotheses for Grammatical Error Correction,Proceedings of NAACL,,,,2021,
"Zhenghao, Liu; Kaitao, Zhang; Chenyan, Xiong; Zhiyuan, Liu; Maosong, Sun; ",OpenMatch: An Open Source Library for Neu-IR Research,Proceedings of SIGIR,,,,2021,
"Si, Sun; Yingzhuo, Qian; Zhenghao, Liu; Chenyan, Xiong; Kaitao, Zhang; Jie, Bao; Zhiyuan, Liu; Paul, Bennett; ",Few-Shot Text Ranking with Meta Adapted Synthetic Weak Supervision,Proceedings of ACL,,,,2021,
"Huiyuan, Xie; Zhenghao, Liu; Chenyan, Xiong; Zhiyaun, Liu; Ann, Copestake; ",TIAGE: A Benchmark for Topic-Shift Aware Dialog Modeling,Proceedings of EMNLP (Findings),,,,2021,
"Zhenghao, Liu; Han, Zhang; Chenyan, Xiong; Zhiyuan, Liu; Yu, Gu; Xiaohua, Li; ",Dimension Reduction for Efficient Dense Retrieval via Conditional Autoencoder,Proceedings of EMNLP,,,,2022,
"Xiaomeng, Hu; Shi, Yu; Chenyan, Xiong; Zhenghao, Liu; Zhiyuan, Liu; Ge, Yu; ",P3 Ranker: Mitigating the Gaps between Pre-training and Ranking Fine-tuning with Prompt-based Learning and Pre-finetuning,Proceedings of SIGIR,,,,2022,
"Zhenghao, Liu; Chenyan, Xiong; Yuanhuiyi, Lv; Zhiyuan, Liu; Ge, Yu; ",Universal Vision-Language Dense Retrieval: Learning A Unified Representation Space for Multi-Modal Retrieval,Proceedings of ICLR,,,,2023,
"Zhenghao, Liu; Sen, Mei; Chenyan, Xiong; Xiaohua, Li; Shi, Yu; Zhiyuan Liu; Yu, Gu; Ge, Yu; ",Text Matching Improves Sequential Recommendation by Reducing Popularity Biases,Proceedings of CIKM,,,,2023,
"Ruining, Chong; Cunliang, Kong; Liu, Wu; Zhenghao, Liu; Ziye, Jin; Liner, Yang; Yange, Fan; Hanghang, Fan; Erhong, Yang; ",Leveraging Prefix Transfer for Multi-Intent Text Revision,Proceedings of ACL,,,,2023,
"Shi, Yu; Zhenghao, Liu; Chenyan, Xiong; Zhiyuan, Liu; ",Openmatch-v2: An all-in-one multi-modality plm-based information retrieval toolkit,Proceedings of SIGIR,,,,2023,
"Xinze, Li; Zhenghao, Liu; Chenyan, Xiong; Shi, Yu; Yu, Gu; Zhiyuan, Liu; Ge, Yu; ",Structure-Aware Language Model Pretraining Improves Dense Retrieval on Structured Data,Proceedings of ACL,,,,2023,
"Shi, Yu; Chenghao, Fan; Chenyan, Xiong; David, Jin; Zhiyuan, Liu; Zhenghao, Liu; ",Fusion-in-T5: Unifying Document Ranking Signals for Improved Information Retrieval,Proceedings of COLING,,,,2024,
"Cheng, Qian; Chenyan, Xiong; Zhenghao, Liu; Zhiyuan, Liu; ",Toolink: Linking toolkit creation and using through chain-of-solving on open-source model,Proceedings of NAACL,,,,2024,
"Zhipeng, Xu; Zhenghao, Liu; Yukun, Yan; Zhiyuan, Liu; Chenyan, Xiong; Ge, Yu; ",Cleaner Pretraining Corpus Curation with Neural Web Scraping,Proceedings of ACL,,,,2024,
"Zhenghao, Liu; Zulong, Chen; Moufeng, Zhang; Shaoyang, Duan; Hong, Wen; Liangyue, Li; Nan, Li; Yu, Gu; Ge, Yu; ",Modeling User Viewing Flow Using Large Language Models for Article Recommendation,Proceedings of WebConf,,,,2024,
"Hanbin, Wang; Zhenghao, Liu; Shuo, Wang; Ganqu, Cui; Ning, Ding; Zhiyuan, Liu; Ge, Yu; ",INTERVENOR: Prompting the Coding Ability of Large Language Models with the Interactive Chain of Repair,Proceedings of ACL (Findings),,,,2024,
"Ruining, Chong; Luming, Lu; Liner, Yang; Jinran, Nie; Zhenghao, Liu; Shuo, Wangl; Shuhan, Zhou; Yaoxin, Li; Erhong, Yang; ",MCTS: A Multi-Reference Chinese Text Simplification Dataset,Proceedings of COLING,,,,2024,
"Zhiyu, Yang; Zihan, Zhou; Shuo, Wang; Xin, Cong; Xu, Han; Yukun, Yan; Zhenghao, Liu; Zhixing, Tan; Pengyuan, Liu; Dong, Yu; Zhiyuan, Liu; Xiaodong, Shi; Maosong, Sun; ",MatPlotAgent: Method and Evaluation for LLM-Based Agentic Scientific Data Visualization,Proceedings of ACL (Findings),,,,2024,
"Haoyu, Wang; Shuo, Wang; Yukun, Yan; Xujia, Wang; Zhiyu, Yang; Yuzhuang, Xu; Zhenghao, Liu; Ning, Ding; Xu, Han; Zhiyuan, Liu; Maosong, Sun; ",UltraLink: An Open-Source Knowledge-Enhanced Multilingual Supervised Fine-tuning Dataset,Proceedings of ACL,,,,2024,
"Tianshuo, Zhou; Sen, Mei; Xinze, Li; Zhenghao, Liu; Chenyan, Xiong; Zhiyuan, Liu; Yu, Gu; ",MARVEL: Unlocking the Multi-Modal Capability of Dense Retrieval via Visual Module Plugin,Proceedings of ACL,,,,2024,
"Na, Guo; Yaqi, Wang; Wenli, Sun; Yu, Gu; Jianzhong, Qi; Zhenghao, Liu; Xiufeng, Xia; Ge, Yu; ",Chameleon: Towards Update-Efficient Learned Indexing for Locally Skewed Data,Proceedings of ICDE,,,,2024,
"Yuqing, Lan; Zhenghao, Liu; Yu, GU; Xiaoyuan, Yi; Xiaohua, Li; Liner, Yang; Ge, Yu; ",Multi-Evidence based Fact Verification via A Confidential Graph Neural Network,Journal of IEEE Transactions on Big Data,,,,2024,IEEE
